title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Kernels of Learning: Tracking the emergence of visual recognition through multivariate approaches,https://dspace.mit.edu/handle/1721.1/68422,Cited by 1,"https://scholar.google.com/scholar?q=related:ysDWjl0b12YJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",301,All 2 versions,SSM Gorlin - 2011 - dspace.mit.edu,"… I show that children treated for congenital blindness ex- hibit significant cortical re-organization
after sight … A handful of cases paint a similarly bleak picture, where early blindness prevents … the
significant gains in visual proficiency that congenitally blind individuals exhibit as a … 
"
Preserving inhibition during developmental hearing loss rescues auditory learning and perception,https://www.jneurosci.org/content/39/42/8347.abstract,Cited by 4,"https://scholar.google.com/scholar?q=related:-0ulOw90W5IJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",302,All 9 versions,"TM Mowery, ML Caras, SI Hassan… - Journal of …, 2019 - Soc Neuroscience",
The novel affiliation treatment for children with deprivation amblyopia after congenital cataract surgery,https://pdfs.semanticscholar.org/e3f2/eb2292dedc42389b400e9d34e8aeec722e59.pdf,Cited by 2,"https://scholar.google.com/scholar?q=related:qsNm-DFBRg0J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",303,,"L Ye, ZR Dan, L Chen, DY Qu, LH Ye… - Int J Clin Exp …, 2017 - pdfs.semanticscholar.org","… Bilateral con- genital cataract is the most common cause of treatable childhood blindness …
Congenital cataract prevents the eyeball to receive enough light stimulation, resulting in
incomplete devel- opment of … 3] Baroncelli L, Braschi C, Maffei L. Visual depth perception in normal … 
"
PET in the assessment of pediatric brain development and developmental disorders,https://www.pet.theclinics.com/article/S1556-8598(09)00020-0/abstract,Cited by 4,"https://scholar.google.com/scholar?q=related:kyKJVVvC5wYJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",304,All 4 versions,"A Kumar, HT Chugani - PET clinics, 2008 - pet.theclinics.com","Skip to Main Content … 
"
Plasticity in the auditory pathway,https://books.google.com/books?hl=en&lr=&id=Kyq65C3ygGAC&oi=fnd&pg=PA387&dq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&ots=wIT1JVGpSO&sig=HtcRvdOjY2i_auTpGfJaj0FhACA,Cited by 14,"https://scholar.google.com/scholar?q=related:jCTifjdVx80J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",305,All 4 versions,"DRF Irvine - The Oxford Handbook of Auditory Neuroscience, 2010 - books.google.com","… of cochlear insult (eg, ototoxic lesions and noise trauma) and of congenital sensori-neural … The
second is the improvement in speech perception shown by cochlear implantees over the …
Cochleotopic organization of AI is rudimentary or absent in congenitally deaf or neonatally … 
"
Impaired speed perception but intact luminance contrast perception in people with one eye,https://jov.arvojournals.org/article.aspx?articleid=2189726,Cited by 13,"https://scholar.google.com/scholar?q=related:AHtWYsO3v2kJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",306,All 5 versions,"KR Kelly, SR Zohar, BL Gallie… - … & Visual Science, 2013 - jov.arvojournals.org","… deficits are found for motion-defined form 21 and the perception of motion in depth … Binocular,
more than monocular, congenital cataracts (corrected during the first year of life) disrupt global …
the enucleated population may result in a relative sparing of motion perception for some … 
"
Molecular mechanism of long-term depression and its role in experience-dependent ocular dominance plasticity of primary visual cortex,https://open.library.ubc.ca/collections/24/24/items/1.0066812,,"https://scholar.google.com/scholar?q=related:3z-lktOoZvgJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",307,All 2 versions,W Xiong - 2008 - open.library.ubc.ca,"Learning, knowledge, research, insight: welcome to the world of UBC Library,
the second-largest academic research library in Canada.
"
The longitudinal study of spatial cognitive development in children with pre-or perinatal focal brain injury,https://books.google.com/books?hl=en&lr=&id=zai62Bgg7ewC&oi=fnd&pg=PA415&dq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&ots=WDvwEnVsZW&sig=JMMok1OZ488JxqgQAU7cU0c-B4M,,"https://scholar.google.com/scholar?q=related:IyX3vcPgZHMJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",308,,"J Stiles, P Moses, BM Paul - … the Cerebral Cortex: Plasticity …, 2006 - books.google.com","… excluded from the study if there was evidence of multiple lesions, disorders with potential of more
global damage such as congenital viral infection … Functional relevance of cross-modal plasticity
in blind humans … Evidence from studies of the visual system in congenitally deaf adults … 
"
PET study of auditory plasticity: helping to address decision making for cochlear implantation of adults,https://www.tandfonline.com/doi/abs/10.1080/16513860802628233,Cited by 9,"https://scholar.google.com/scholar?q=related:_q3RWXcEXzkJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",309,,"FJ Cervera-Paz, J Arbizu, E Prieto… - Audiological …, 2009 - Taylor & Francis","… the teen age, when cortico-cortical auditory connections cease, as occurs in blindness 31 … a good
amount of the speech perception ability variance shown by congenitally deaf implanted children …
A, Hartmann R, Tillein J, Heid S, Klinke R. Hearing after congenital deafness: central … 
"
Horizontal saccade dynamics after childhood monocular enucleation,https://jov.arvojournals.org/article.aspx?articleid=2202853,Cited by 7,"https://scholar.google.com/scholar?q=related:0skj_QdilvYJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",310,All 8 versions,"EG González, L Lillakas, A Lam… - … & visual science, 2013 - jov.arvojournals.org","… adverse effects on the maturation of functions, such as motion 9–11 and face perception. 12.
When evaluating the characteristics of monocular vision, the question arises as to the … are larger
compared to those of people who lost vision as adults or were congenitally monocular … 
"
"Amblyopia: prevalence, natural history, functional effects and treatment",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1444-0938.2005.tb05102.x,Cited by 319,"https://scholar.google.com/scholar?q=related:LGVrNdPECaMJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",311,All 4 versions,"AL Webber, J Wood - Clinical and experimental optometry, 2005 - Wiley Online Library","… 6/18 and 6/60) and 86 (23 per cent) had severe visual im- pairment or blindness (VA less … The
greatest post-operative improvement was found in the sub-test item that involves depth perception,
where the child is … ' ~ Of relevance to the question of how the restoration of binocular … 
"
Systems and methods for altering brain and body functions and for treating conditions and diseases of the same,https://patents.google.com/patent/US20070250119A1/en,Cited by 182,"https://scholar.google.com/scholar?q=related:Fe0PRbI5bTwJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",312,All 2 versions,"M Tyler, Y Danilov, P Bach-y-Rita… - US Patent App. 11 …, 2007 - Google Patents","… 10 shows four trajectory error cues as displayed on the tongue display for use in a … and methods
for management of brain and body functions as they relate to sensory perception, as well … that
machine/brain interfaces may be used to, among other things, permit blind and vision … 
"
Positive clinical neuroscience: explorations in positive neurology,https://journals.sagepub.com/doi/abs/10.1177/1073858412470976,Cited by 25,"https://scholar.google.com/scholar?q=related:foWSKwAGf04J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",313,All 17 versions,"N Kapur, J Cole, T Manly, I Viskontas… - The …, 2013 - journals.sagepub.com","Disorders of the brain and its sensory organs have traditionally been
associated with deficits in movement, perception, cognition, emotion, and
behavior. It is increasingly evident, however, that p...
"
"Characterization, passive and active treatment in strabismic amblyopia: a narrative review",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321947/,,,314,All 3 versions,"M Milla, DP Piñero - International Journal of Ophthalmology, 2020 - ncbi.nlm.nih.gov","… inducing an abnormal entry of visual information due to corneal lesions, congenital cataracts
and … is also necessary to transform the information coming from each one in a three-dimensional
perception … Dadeya et al[103], Randomized, double-blind study, To evaluate the role of … 
"
Late-but not early-onset blindness impairs the development of audio-haptic multisensory integration,https://www.biorxiv.org/content/10.1101/795500v1.abstract,Cited by 2,"https://scholar.google.com/scholar?q=related:z_o3ynxripwJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",315,All 6 versions,"M Scheller, MJ Proulx, M De Haan, A Dahlmann-Noor… - BioRxiv, 2019 - biorxiv.org","… VIc16† Male 12 Right Birth Low Vision Congenital Glaucoma, Left enucleation R = 1.1; L = - Blind
(EB/CB) … integration, we then compared integration performance between blind adults with three
different onsets of vision loss: congenitally blind, early blind, and late blind … 
"
The layering of auditory experiences in driving experience-dependent subcortical plasticity,https://www.sciencedirect.com/science/article/pii/S0378595514000033,Cited by 20,"https://scholar.google.com/scholar?q=related:h_7XMBRKOccJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",316,All 10 versions,"E Skoe, B Chandrasekaran - Hearing research, 2014 - Elsevier","… This article focuses on experience-dependent plasticity observed in the human auditory brainstem …
recently, the auditory brainstem had been viewed as a nonplastic site of sensory processing that …
way in which different components of the auditory signal are encoded in the brain … 
"
Sound localization in early-blind human subjects,https://books.google.com/books?hl=en&lr=&id=zai62Bgg7ewC&oi=fnd&pg=PA395&dq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&ots=WDvwEnVsZZ&sig=UZI1RbXFGZz0SW3AW-01nkvgT3Y,,"https://scholar.google.com/scholar?q=related:JGP3L3hgX0MJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",317,,"D Saint-Amour, JP Guillemot… - … Cortex: Plasticity …, 2006 - books.google.com","… For example, the dorsol- ateral geniculate nucleus, as well as the primary visual cortex of
congenital blind mole rats are predominantly driven by auditory … American Foundation for the Blind,
New York … Visual attention to the periphery is enhanced in congenitally deaf individuals … 
"
The effects of lifelong blindness on murine neuroanatomy and gene expression,https://www.frontiersin.org/articles/10.3389/fnagi.2015.00144/full,Cited by 4,"https://scholar.google.com/scholar?q=related:0zGJ_d9l0scJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",318,All 8 versions,"CW Abbott, OO Kozanian, KJ Huffman - Frontiers in aging …, 2015 - frontiersin.org","… crystals were inserted perpendicular to the cortical surface to a depth of approximately … The area
where blindness-induced reduction of gene expression is seen correlated … Studies involving
experimental manipulations of peripheral input and in congenitally blind humans point … 
"
[C] Neural plasticity and the limits of scientific knowledge,,,"https://scholar.google.com/scholar?q=related:PgBsjG0QtDgJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",319,All 7 versions,P Parpia - 2015 - University of Sussex,
Leber congenital amaurosis due to RPE65 mutations and its treatment with gene therapy,https://www.sciencedirect.com/science/article/pii/S1350946210000285,Cited by 210,"https://scholar.google.com/scholar?q=related:TsaP5o8u704J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",320,All 7 versions,"AV Cideciyan - Progress in retinal and eye research, 2010 - Elsevier",
Learning to see: The early stages of perceptual organization,https://dspace.mit.edu/handle/1721.1/62087,Cited by 1,"https://scholar.google.com/scholar?q=related:ECqz3VuoilYJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",321,All 2 versions,Y Ostrovsky - 2010 - dspace.mit.edu,"… visual deprivation in the congenitally blind can lead to activation in visual cortical areas driven …
attained acuity of 20/250 (Kugelberg, 1992), which qualifies as legal blindness but is … binocular)
in congenital cataract patients generally precludes stereopsis, though some patients … 
"
The neurological development of the child with the educational enrichment in mind,https://www.sciencedirect.com/science/article/pii/S1135755X15000226,Cited by 27,"https://scholar.google.com/scholar?q=related:ArTlhrwEuI8J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",322,All 6 versions,"G Leisman, R Mualem, SK Mughrabi - Psicología Educativa, 2015 - Elsevier","… The capacity to perceive stereoscopic depth requires early experience with binocular vision,
(Crawford, Pesch, & von Noorden, 1996), which at a … This imposes a 'neurotogenic limitation' and
binds mental processes so tightly that they impede the perception of new data … 
"
Critical periods,https://link.springer.com/chapter/10.1007/0-387-30484-3_9,Cited by 3,"https://scholar.google.com/scholar?q=related:AD78_pPY1q4J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",323,All 7 versions,"NW Daw - Visual Development, 2006 - Springer","… Nevertheless, monocular deprivation has a dramatic influence on the histogram for many months
after this … for about a year starting at age 1 year was completely blind in the … The difference between
unilateral and bilateral congenital cataracts is apparent only when treatment is … 
"
19. Visual Development with One Eye,https://books.google.com/books?hl=en&lr=&id=HqaKlR_GpP0C&oi=fnd&pg=PA385&dq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&ots=nFr2Jr3q2A&sig=dJWvWE360Z1OFn_UEHsJVI_tek8,Cited by 5,"https://scholar.google.com/scholar?q=related:qHGZcdNhZ_UJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",324,All 2 versions,"MJ Steinbach - Seeing spatial form, 2006 - books.google.com","… One was a study of identical twins, one with a congenital posterior subcapsular cataract (John-
son et al., 1982); the second a study of the … Seeing in Depth., Vol … Massive cross-modal cortical
plasticity and the emergence of a new cortical area in developmentally blind mammals … 
"
Nature of binocular interactions in developmental disorders of vision,http://search.proquest.com/openview/2235bf69c514e14197ea060a57218152/1?pq-origsite=gscholar&cbl=51922&diss=y,,"https://scholar.google.com/scholar?q=related:-2nwOlSnIE0J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",325,All 2 versions,S Faulkner - 2005 - search.proquest.com,"… Visual perception occurs in two stages … The condition that comes closest is a dense unilateral
cataract, either congenital or of very early onset … Experiments by Kind et al (2002) studied recovery
from 10 days of monocular deprivation, induced near the height of the critical period … 
"
Long-Term Consequences of Early Eye Enucleation on Audiovisual Processing,https://yorkspace.library.yorku.ca/xmlui/handle/10315/34989,,"https://scholar.google.com/scholar?q=related:R8csCsajeUoJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",326,,SS Moro - 2018 - yorkspace.library.yorku.ca,"… field by 20-‐40% and lack of stereoscopic (3D) depth perception. People with one eye
can … Critical periods for different visual functions such as acuity or motion perception
can emerge at different times (Daw, 2006) … Congenitally blind … 
"
Perceptual plasticity in damaged adult visual systems,https://www.sciencedirect.com/science/article/pii/S0042698908002836,Cited by 71,"https://scholar.google.com/scholar?q=related:kAQ00RyRWsAJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",327,All 15 versions,"KR Huxlin - Vision research, 2008 - Elsevier",
"Neural Mechanisms of motion perception, and plasticity after brain damage.",https://flore.unifi.it/retrieve/handle/2158/1157069/397218/F_Neural_Mechanisms%20of%20motionperception.pdf,,"https://scholar.google.com/scholar?q=related:hX6zvvvdg58J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",328,All 2 versions,"M Concetta, R Corradetti - 2015 - flore.unifi.it","… the blind visual field, in a case report of a patient GY, with extensive area V1 injury (Bridge et
al., 2008) … are any training induced plasticity helping them to recover similar to congenitally
impaired … reorganization of the early visual cortex, which is often found in congenital or … 
"
The Recovery From Early Monocular Visual Deprivation in Kittens,https://books.google.com/books?hl=en&lr=&id=vXN_AAAAQBAJ&oi=fnd&pg=PA1&dq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&ots=JP05VufYaY&sig=Q82jHc4VAejVNKNKx9LWCLDwits,Cited by 1,"https://scholar.google.com/scholar?q=related:_jpIWIqMkBgJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",329,All 2 versions,"DE Mitchell - Perceptual Development in infancy: The Minnesota …, 2013 - books.google.com","… Frequently, kittens are apparently blind when the vision of deprived eye is first tested after …
Blindness is formally defined on the jumping stand as an ina- bility to choose between … Other visual
functions such as vernier acuity or depth perception can be measured by displaying the … 
"
"3 Developmental, Cognitive, and Neurocognitive Perspectives on Language Development in Children Who Use Cochlear Implants",https://books.google.com/books?hl=en&lr=&id=D7XjDwAAQBAJ&oi=fnd&pg=PA33&dq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&ots=lHqJCPIM9m&sig=W-wLyBnkEKOQxfeztD3DQU8Fleg,,"https://scholar.google.com/scholar?q=related:wOrPhrNi3isJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",330,All 3 versions,"P Rinaldi, F Pavani, MC Caselli - The Oxford Handbook of Deaf …, 2020 - books.google.com","… loss: the audi- tory cortex of deaf individuals, the visual cortex of blind individuals) to … In deaf
individuals with congenital or early-onset hearing loss, visual stimu- lation is processed in … For
instance, in congenitally deaf cats, precisely the same cortical auditory region in- volved in … 
"
New Perspectives in the Treatment of Amblyopia,https://books.google.com/books?hl=en&lr=&id=kmxkHXiCqoMC&oi=fnd&pg=PA383&dq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&ots=vifJkRHLB7&sig=UA942NyIBeOGki6U_6SEfny5CYY,,"https://scholar.google.com/scholar?q=related:5VbnNfHcaPgJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",331,,"DM Levi - Cerebral Plasticity: New Perspectives, 2011 - books.google.com","… in life was inspired, in large measure, by the 18th-century notion that early visual deprivation
(eg, blindness at birth … because the new receptive fields support visual function and, therefore,
act to “fill in” the blind spots in … Contrast sensitivity in cases of unilateral congenital cataract … 
"
"Reliabilism, truetemp and new perceptual faculties",https://link.springer.com/article/10.1023/B:SYNT.0000031324.35563.1d,Cited by 13,"https://scholar.google.com/scholar?q=related:FQ-qhcdjagcJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",332,All 17 versions,"JR Beebe - Synthese, 2004 - Springer","… for most of their lives and experience only a short period of blindness – experience “a … adults who
were blind since infancy (and therefore had major changes in visual path- ways … cochlear implants
(1995, 11), it is only because auditory neurons in the congenitally deaf have the … 
"
Visual objects in the auditory system in sensory substitution: How much information do we need?,https://brill.com/view/journals/msr/27/5-6/article-p337_5.xml,Cited by 19,"https://scholar.google.com/scholar?q=related:QJe37eHZv9kJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",333,All 10 versions,"DJ Brown, AJR Simpson, MJ Proulx - Multisensory research, 2014 - brill.com","… 6. Artikelkategorie: Research Article DOI: https://doi.org/10.1163/22134808-00002462.
Keywords: Sensory substitution; blindness; visual impairment; auditory; object
recognition; cross-modal; The vOICe. Login via Institution. Open … 
"
The New Cognitive Neurosciences,https://blogs.uoregon.edu/brainlab/files/2012/09/Neville-New-Cog-Neuro-1999-12sy0xw.pdf,Cited by 2,"https://scholar.google.com/scholar?q=related:UTrdG7v09EwJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",334,,"J Tooby, L Cosmides - 2000 - blogs.uoregon.edu","… cortex including areas MT-MST (ﬁgure 7.4; see color plate 1). Thus, congenital deafness alters …
HEARING FIGURE 7.4 Activation (fMRI, 1.5T) in normally hearing and congenitally deaf adults
in … in the visual cortex of early blind humans as compared to subjects who became blind … 
"
[C] Anthro-Centric Multisensory Interface for Vision Augmentation/Substitution (ACMI-VAS),,,"https://scholar.google.com/scholar?q=related:WQ71d9nCznkJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",335,All 2 versions,AK Raj - 2014 - FLORIDA INST FOR HUMAN AND …,
10 Days of Darkness Does Not Restore Neural or Visual Plasticity in Adult Cats,https://dalspace.library.dal.ca/handle/10222/55998,,,336,All 2 versions,K Holman - 2014 - dalspace.library.dal.ca,"… binocular eye alignment in the case of strabismus , or surgical removal of congenital … functional
architecture of the neural networks which serve visual perception (Hubel and Wiesel, 1962) … see
Chaper 2, section 2.1.3) and initially appeared completely blind in both eyes but … 
"
"Putting it into words: The impact of visual impairment on perception, experience and presence",https://core.ac.uk/download/pdf/74244529.pdf,Cited by 20,"https://scholar.google.com/scholar?q=related:YzJvAl81jVUJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",337,All 5 versions,L Fryer - 2013 - core.ac.uk,"… impairment 273 9.3 Revised model of an AV user with congenital blindness (CB) watching with
AD 273 9.4 Revised model of an AV user with late-onset blindness (LB) watching with AD 274 …
CAN Central Autonomic Network CB Congenitally Blind EB Early Blind … 
"
Artificial human vision,https://www.tandfonline.com/doi/abs/10.1586/17434440.2.1.73,Cited by 76,"https://scholar.google.com/scholar?q=related:XL2gVIgRaIMJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",338,All 16 versions,"J Dowling - Expert Review of Medical Devices, 2005 - Taylor & Francis","… to study the differences in reading Braille in normally sighted and congenitally blind people [42] …
and gene therapy has commenced which may also provide alternative treatment options for
blindness … Additionally, most people who are classified as blind are elderly and still have … 
"
